SKU_NAME,Total_value_sold
Sawa Toilet Soap Chocolate 24 x 225GM,128.0
Detrex Cool Mint Soap 36x100GM,295.0
Sawa Body Lotion Rich Cocoa Butter 12 X 600 Ml,834.0
Sawa Body Lotion Soft Glycerine 12 X 600 Ml,834.0
Ushindi Orange Dishwashing Liquid 6 x 750 ml BOGH OFFER,940.0
White Wash Multi Purpose Soap White Brilliant Colors 90GMx72,956.0
Frymate Fat Yellow Refill 50GMX72,975.0
New Diva Beauty Soap Olive n Tulip Value Pack 100GMx9x4,1278.0
Frymate Fat Yellow Refill 100gx50,1288.0
Detrex Hand sanitizing gel 48 * 30 ml,1300.0
